PeakID (cmd=annotatePeaks.pl siBAZ2B_raw_MACS2_Unique_Ctrl.narrowPeak hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_5681,chr22,30163009,30163329,+,55,NA,promoter-TSS (NM_001318129),promoter-TSS (NM_001318129),-169,NM_001318129,55954,,NM_019103,ENSG00000100319,ZMAT5,SNRNP20|U11/U12-20K|ZC3H19,zinc finger matrin-type 5,protein-coding
siBAZ2B_3_peak_7112,chr6,157695576,157696081,+,55,NA,Intergenic,CpG,48723,NM_018452,729515,,NM_018452,ENSG00000215712,TMEM242,BM033|C6orf35,transmembrane protein 242,protein-coding
siBAZ2B_3_peak_14,chr1,1167186,1167658,+,55,NA,promoter-TSS (NM_016176),promoter-TSS (NM_016176),-41,NM_016176,51150,,NM_016176,ENSG00000078808,SDF4,Cab45|SDF-4,stromal cell derived factor 4,protein-coding
siBAZ2B_3_peak_4931,chr2,92296639,92296939,+,55,NA,Intergenic,ALR/Alpha|Satellite|centr,167630,NR_027714,440888,,NM_001032412,,ACTR3BP2,FKSG73,ACTR3B pseudogene 2,pseudo
siBAZ2B_3_peak_6425,chr4,185655261,185655559,+,55,NA,promoter-TSS (NR_104593),promoter-TSS (NR_104593),-160,NM_024629,79682,,NM_024629,ENSG00000151725,CENPU,CENP50|CENPU50|KLIP1|MLF1IP|PBIP1,centromere protein U,protein-coding
siBAZ2B_3_peak_2119,chr12,124118095,124118393,+,55,NA,promoter-TSS (NM_001271868),promoter-TSS (NM_001271868),-11,NM_001414,1967,,NM_001414,ENSG00000111361,EIF2B1,EIF2B|EIF2BA|EIF2Balpha|VWM1,eukaryotic translation initiation factor 2B subunit alpha,protein-coding
siBAZ2B_3_peak_7676,chr7,144532970,144533471,+,55,NA,promoter-TSS (NM_001350889),promoter-TSS (NM_001350889),-74,NM_001350881,27010,,NM_022445,ENSG00000196511,TPK1,HTPK1|PP20|THMD5,thiamin pyrophosphokinase 1,protein-coding
siBAZ2B_3_peak_615,chr1,201083345,201083676,+,55,NA,"3' UTR (NM_001270601, exon 1 of 1)","3' UTR (NM_001270601, exon 1 of 1)",990,NM_001270601,647219,,NM_001270601,ENSG00000232237,ASCL5,ASH-5|AmeloD|bHLHa47,achaete-scute family bHLH transcription factor 5,protein-coding
siBAZ2B_3_peak_6146,chr3,184080616,184080948,+,55,NA,promoter-TSS (NM_001278715),"intron (NM_001346879, intron 1 of 4)",11,NM_001278715,5437,,NM_006232,ENSG00000163882,POLR2H,RPABC3|RPB17|RPB8,"RNA polymerase II, I and III subunit H",protein-coding
siBAZ2B_3_peak_7565,chr7,100860635,100861308,+,55,NA,promoter-TSS (NM_001084),promoter-TSS (NM_001084),-109,NM_001084,8985,,NM_001084,ENSG00000106397,PLOD3,LH3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",protein-coding
siBAZ2B_3_peak_5015,chr2,121010078,121010869,+,55,NA,promoter-TSS (NM_001369400),promoter-TSS (NM_001369400),45,NM_001369400,5899,,NM_002881,ENSG00000144118,RALB,-,RAS like proto-oncogene B,protein-coding
siBAZ2B_3_peak_8162,chr9,19408669,19409058,+,55,NA,promoter-TSS (NM_001010887),promoter-TSS (NM_001010887),-144,NM_001010887,340485,,NM_001010887,ENSG00000177076,ACER2,ALKCDase2|ASAH3L,alkaline ceramidase 2,protein-coding
siBAZ2B_3_peak_4697,chr2,27193234,27193743,+,55,NA,promoter-TSS (NM_012326),promoter-TSS (NM_012326),-17,NM_012326,22924,,NM_012326,ENSG00000084764,MAPRE3,EB3|EBF3|EBF3-S|RP3,microtubule associated protein RP/EB family member 3,protein-coding
siBAZ2B_3_peak_8211,chr9,37079609,37080210,+,55,NA,promoter-TSS (NR_036592),promoter-TSS (NR_036592),16,NR_036592,100506710,,NR_036592,ENSG00000281649,EBLN3P,EBLN3,"endogenous Bornavirus like nucleoprotein 3, pseudogene",pseudo
siBAZ2B_3_peak_7383,chr7,36406503,36406989,+,55,NA,"5' UTR (NM_001199708, exon 1 of 7)","5' UTR (NM_001199708, exon 1 of 7)",103,NM_001199708,23366,,NM_015314,ENSG00000164542,MATCAP2,KIAA0895|TMCP2,microtubule associated tyrosine carboxypeptidase 2,protein-coding
siBAZ2B_3_peak_8380,chr9,124132218,124132841,+,54,NA,promoter-TSS (NM_004099),promoter-TSS (NM_004099),-1,NM_198194,2040,,NM_004099,ENSG00000148175,STOM,BND7|EPB7|EPB72,stomatin,protein-coding
siBAZ2B_3_peak_1199,chr11,1404222,1404605,+,54,NA,Intergenic,CpG,-6751,NM_001256627,9024,,NM_003957,ENSG00000174672,BRSK2,C11orf7|PEN11B|SAD-A|SAD1|SADA|STK29,BR serine/threonine kinase 2,protein-coding
siBAZ2B_3_peak_7877,chr8,55014123,55014606,+,54,NA,promoter-TSS (NM_001279360),promoter-TSS (NM_001279360),143,NM_001279358,10434,,NM_006330,ENSG00000120992,LYPLA1,APT-1|APT1|LPL-I|LPL1|hAPT1,lysophospholipase 1,protein-coding
siBAZ2B_3_peak_5884,chr3,47422577,47423074,+,54,NA,"intron (NM_001304482, intron 1 of 23)",CpG,314,NM_015466,25930,,NM_015466,ENSG00000076201,PTPN23,HD-PTP|HDPTP|NEDBASS|PTP-TD14,protein tyrosine phosphatase non-receptor type 23,protein-coding
siBAZ2B_3_peak_2773,chr15,79103626,79103962,+,54,NA,promoter-TSS (NM_014272),promoter-TSS (NM_014272),12,NM_014272,11173,,NM_014272,ENSG00000136378,ADAMTS7,ADAM-TS 7|ADAM-TS7|ADAMTS-7,ADAM metallopeptidase with thrombospondin type 1 motif 7,protein-coding
siBAZ2B_3_peak_68,chr1,9885454,9885942,+,54,NA,Intergenic,Intergenic,-1114,NM_014944,22883,,NM_014944,ENSG00000171603,CLSTN1,ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2,calsyntenin 1,protein-coding
siBAZ2B_3_peak_5758,chr22,50311603,50312192,+,54,NA,promoter-TSS (NM_001135101),promoter-TSS (NM_001135101),189,NM_024105,79087,,NM_024105,ENSG00000182858,ALG12,CDG1G|ECM39|PP14673|hALG12,"ALG12 alpha-1,6-mannosyltransferase",protein-coding
siBAZ2B_3_peak_4067,chr19,5827853,5828449,+,54,NA,"exon (NM_004558, exon 3 of 3)","exon (NM_004558, exon 3 of 3)",10652,NM_001369504,2528,,NM_000150,ENSG00000156413,FUT6,FCT3A|FT1A|Fuc-TVI|FucT-VI,fucosyltransferase 6,protein-coding
siBAZ2B_3_peak_1355,chr11,58345581,58347037,+,54,NA,promoter-TSS (NM_053023),promoter-TSS (NM_053023),-227,NM_001197051,80829,,NM_053023,ENSG00000186660,ZFP91,DMS-8|DSM-8|DSM8|FKSG11|PZF|ZFP-91|ZNF757,"ZFP91 zinc finger protein, atypical E3 ubiquitin ligase",protein-coding
siBAZ2B_3_peak_5005,chr2,114384598,114385015,+,54,NA,promoter-TSS (NM_007082),promoter-TSS (NM_007082),-37,NM_001306159,11159,,NM_007082,ENSG00000144134,RABL2A,-,"RAB, member of RAS oncogene family like 2A",protein-coding
siBAZ2B_3_peak_1252,chr11,13237800,13238419,+,54,NA,Intergenic,Intergenic,-60090,NM_001351804,406,,NM_001178,ENSG00000133794,BMAL1,ARNTL|ARNTL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5,basic helix-loop-helix ARNT like 1,protein-coding
siBAZ2B_3_peak_1339,chr11,51580293,51580696,+,54,NA,Intergenic,ALR/Alpha|Satellite|centr,65212,NM_001004703,119749,,NM_001004703,ENSG00000185926,OR4C46,-,olfactory receptor family 4 subfamily C member 46,protein-coding
siBAZ2B_3_peak_1089,chr10,112326996,112328009,+,54,NA,promoter-TSS (NM_005445),promoter-TSS (NM_005445),49,NM_005445,9126,,NM_005445,ENSG00000108055,SMC3,BAM|BMH|CDLS3|CSPG6|HCAP|SMC3L1,structural maintenance of chromosomes 3,protein-coding
siBAZ2B_3_peak_5157,chr2,202316057,202316669,+,54,NA,promoter-TSS (NM_001206864),promoter-TSS (NM_001206864),-100,NM_018571,55437,,NM_018571,ENSG00000082146,STRADB,ALS2CR2|CALS-21|ILPIP|ILPIPA|PAPK|PRO1038,STE20 related adaptor beta,protein-coding
siBAZ2B_3_peak_4756,chr2,42360213,42360629,+,54,NA,Intergenic,Intergenic,-36072,NM_001145076,27436,,NM_019063,ENSG00000143924,EML4,C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120,EMAP like 4,protein-coding
siBAZ2B_3_peak_1988,chr12,93835760,93836347,+,54,NA,promoter-TSS (NM_003348),promoter-TSS (NM_003348),-330,NM_003348,7334,,NM_003348,ENSG00000177889,UBE2N,HEL-S-71|UBC13|UBCHBEN|UBCHBEN; UBC13|UbcH-ben|UbcH13,ubiquitin conjugating enzyme E2 N,protein-coding
siBAZ2B_3_peak_6395,chr4,153457253,153457817,+,54,NA,promoter-TSS (NM_001349798),promoter-TSS (NM_001349798),-45,NR_039658,100616193,,NR_039658,ENSG00000283792,MIR4453,-,microRNA 4453,ncRNA
siBAZ2B_3_peak_5508,chr20,60632734,60633119,+,54,NA,"intron (NM_003185, intron 1 of 14)","intron (NM_003185, intron 1 of 14)",-6932,NR_130463,100422838,,NR_130463,ENSG00000265306,MIR3195,-,microRNA 3195,ncRNA
siBAZ2B_3_peak_4806,chr2,55746736,55747135,+,54,NA,promoter-TSS (NM_080667),promoter-TSS (NM_080667),81,NM_080667,112942,,NM_080667,ENSG00000163001,CFAP36,BARTL1|CCDC104,cilia and flagella associated protein 36,protein-coding
siBAZ2B_3_peak_4625,chr2,9346122,9346874,+,54,NA,promoter-TSS (NM_001135191),promoter-TSS (NM_001135191),-396,NM_001135191,8853,,NM_003887,ENSG00000151693,ASAP2,AMAP2|CENTB3|DDEF2|PAG3|PAP|Pap-alpha|SHAG1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",protein-coding
siBAZ2B_3_peak_5087,chr2,167232438,167233221,+,54,NA,promoter-TSS (NM_002977),promoter-TSS (NM_002977),-332,NM_002977,6335,,NM_002977,ENSG00000169432,SCN9A,ETHA|FEB3B|GEFSP7|HSAN2D|NE-NA|NENA|Nav1.7|PN1|SFNP,sodium voltage-gated channel alpha subunit 9,protein-coding
siBAZ2B_3_peak_8761,chrX,119763648,119764405,+,54,NA,promoter-TSS (NM_152692),promoter-TSS (NM_152692),-21,NM_152692,29071,,NM_152692,ENSG00000171155,C1GALT1C1,AHUS8|C1GALT2|C38H2-L1|COSMC|HSPC067|MST143|TNPS,C1GALT1 specific chaperone 1,protein-coding
siBAZ2B_3_peak_8251,chr9,69262190,69262845,+,54,NA,promoter-TSS (NM_001378116).2,promoter-TSS (NM_001378116).2,19,NM_001378116,445571,,NM_201453,ENSG00000196873,ZNG1C,CBWD3|bA561O23.1,Zn regulated GTPase metalloprotein activator 1C,protein-coding
siBAZ2B_3_peak_5854,chr3,33839749,33840149,+,54,NA,promoter-TSS (NM_001162429),promoter-TSS (NM_001162429),-114,NM_001162429,10015,,NM_013374,ENSG00000170248,PDCD6IP,AIP1|ALIX|DRIP4|HP95|MCPH29,programmed cell death 6 interacting protein,protein-coding
siBAZ2B_3_peak_7732,chr8,680828,681494,+,54,NA,promoter-TSS (NM_001303100),promoter-TSS (NM_001303100),63,NM_207332,157697,,NM_207332,ENSG00000104714,ERICH1,HSPC319,glutamate rich 1,protein-coding
siBAZ2B_3_peak_1871,chr12,54121355,54121770,+,54,NA,promoter-TSS (NR_026554),promoter-TSS (NR_026554),-326,NM_001143682,57658,,NM_020898,ENSG00000012822,CALCOCO1,Cocoa|PP13275|calphoglin,calcium binding and coiled-coil domain 1,protein-coding
siBAZ2B_3_peak_5827,chr3,23958225,23958547,+,54,NA,promoter-TSS (NM_001253383),promoter-TSS (NM_001253383),95,NM_001377355,28512,,NM_020345,ENSG00000197885,NKIRAS1,KBRAS1|kappaB-Ras1,NFKB inhibitor interacting Ras like 1,protein-coding
siBAZ2B_3_peak_1125,chr10,124133771,124134429,+,54,NA,promoter-TSS (NM_001377237),promoter-TSS (NM_001377237),-124,NM_001377246,59338,,NM_021622,ENSG00000107679,PLEKHA1,TAPP1,pleckstrin homology domain containing A1,protein-coding
siBAZ2B_3_peak_1704,chr12,6480108,6480513,+,54,NA,"intron (NM_001159576, intron 1 of 11)","intron (NM_001159576, intron 1 of 11)",-4016,NM_001270987,4055,,NM_002342,ENSG00000111321,LTBR,D12S370|LT-BETA-R|TNF-R-III|TNFCR|TNFR-RP|TNFR2-RP|TNFR3|TNFRSF3,lymphotoxin beta receptor,protein-coding
siBAZ2B_3_peak_3628,chr17,46184770,46185116,+,54,NA,promoter-TSS (NM_013323),promoter-TSS (NM_013323),23,NM_152244,29916,,NM_013323,ENSG00000002919,SNX11,-,sorting nexin 11,protein-coding
siBAZ2B_3_peak_4409,chr19,46145512,46145882,+,54,NA,"non-coding (NR_130728, exon 3 of 3)","non-coding (NR_130728, exon 3 of 3)",945,NR_130728,100287177,,NM_001242348,ENSG00000267757,EML2-AS1,C19orf83,EML2 antisense RNA 1,ncRNA
siBAZ2B_3_peak_3984,chr19,489080,489396,+,54,NA,"intron (NM_001385599, intron 2 of 4)",CpG,2386,NM_001385599,284451,,NM_182577,ENSG00000181781,CIMAP1D,C19orf19|ODF3L2,CIMAP1 family member D,protein-coding
siBAZ2B_3_peak_3168,chr16,67969682,67969980,+,54,NA,"intron (NM_002801, intron 4 of 7)",CpG-9670,922,NM_002801,5699,,NM_002801,ENSG00000205220,PSMB10,LMP10|MECL1|PRAAS5|beta2i,proteasome 20S subunit beta 10,protein-coding
siBAZ2B_3_peak_5347,chr20,10654704,10655026,+,54,NA,promoter-TSS (NM_000214),promoter-TSS (NM_000214),-218,NM_000214,182,,NM_000214,ENSG00000101384,JAG1,AGS|AGS1|AHD|AWS|CD339|CMT2HH|DCHE|HJ1|JAGL1,jagged canonical Notch ligand 1,protein-coding
siBAZ2B_3_peak_66,chr1,9599344,9599756,+,54,NA,promoter-TSS (NM_032315),promoter-TSS (NM_032315),26,NM_032315,84275,,NM_032315,ENSG00000171612,SLC25A33,BMSC-MCP|PNC1,solute carrier family 25 member 33,protein-coding
siBAZ2B_3_peak_4536,chr19,51611412,51612075,+,54,NA,promoter-TSS (NM_145232),promoter-TSS (NM_145232),-77,NM_145232,90353,,NM_145232,ENSG00000142544,CTU1,ATPBD3|NCS6,cytosolic thiouridylase subunit 1,protein-coding
siBAZ2B_3_peak_1154,chr10,134261713,134262070,+,53,NA,TTS (NR_149317),TTS (NR_149317),3198,NR_149317,170393,,NR_149317,,LINC02870,C10orf91,long intergenic non-protein coding RNA 2870,ncRNA
siBAZ2B_3_peak_7862,chr8,42911354,42911789,+,53,NA,"exon (NM_002027, exon 1 of 9)","exon (NM_002027, exon 1 of 9)",105,NM_002027,2339,,NM_002027,ENSG00000168522,FNTA,FPTA|PGGT1A|PTAR2,"farnesyltransferase, CAAX box, subunit alpha",protein-coding
siBAZ2B_3_peak_2764,chr15,78441680,78442063,+,53,NA,"intron (NM_005530, intron 1 of 10)",CpG,167,NM_005530,3419,,NM_005530,ENSG00000166411,IDH3A,RP90,isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha,protein-coding
siBAZ2B_3_peak_6548,chr5,70015210,70015508,+,53,NA,promoter-TSS (NR_146391),promoter-TSS (NR_146391),-257,NR_146391,653080,,NR_146391,,GUSBP16,-,GUSB pseudogene 16,pseudo
siBAZ2B_3_peak_5723,chr22,41032686,41033008,+,53,NA,promoter-TSS (NM_001282662),promoter-TSS (NM_001282662),-124,NM_001282662,57591,,NM_020831,ENSG00000196588,MRTFA,BSAC|MAL|MKL|MKL1|MRTF-A,myocardin related transcription factor A,protein-coding
siBAZ2B_3_peak_5370,chr20,20693029,20693598,+,53,NA,promoter-TSS (NM_020343),promoter-TSS (NM_020343),-26,NM_020343,57186,,NM_020343,ENSG00000188559,RALGAPA2,AS250|C20orf74|bA287B20.1|dJ1049G11|dJ1049G11.4|p220,Ral GTPase activating protein catalytic subunit alpha 2,protein-coding
siBAZ2B_3_peak_1157,chr10,134822933,134823252,+,53,NA,Intergenic,Intergenic,44054,NR_046231,399829,,NR_046231,ENSG00000240707,LINC01168,-,long intergenic non-protein coding RNA 1168,ncRNA
siBAZ2B_3_peak_7001,chr6,52284774,52285510,+,53,NA,promoter-TSS (NM_018100),promoter-TSS (NM_018100),2,NR_033327,114327,,NM_018100,ENSG00000096093,EFHC1,EJM1|POC9|RIB72|dJ304B14.2,EF-hand domain containing 1,protein-coding
siBAZ2B_3_peak_4419,chr19,46295808,46296397,+,53,NA,promoter-TSS (NM_004943),promoter-TSS (NM_004943),1,NM_004943,1762,,NM_004943,ENSG00000185800,DMWD,D19S593E|DMR-N9|DMRN9|gene59,"DM1 locus, WD repeat containing",protein-coding
siBAZ2B_3_peak_4056,chr19,4713553,4713959,+,53,NA,"intron (NM_139159, intron 4 of 21)","intron (NM_139159, intron 4 of 21)",6608,NM_001384611,91039,,NM_139159,ENSG00000142002,DPP9,DP9|DPLP9|DPP IX|DPRP-2|DPRP2|HATIS|IMD111,dipeptidyl peptidase 9,protein-coding
siBAZ2B_3_peak_6026,chr3,126194445,126195287,+,53,NA,promoter-TSS (NR_104249),promoter-TSS (NR_104249),-104,NM_001040653,79364,,NM_025112,ENSG00000070476,ZXDC,ZXDL,ZXD family zinc finger C,protein-coding
siBAZ2B_3_peak_1822,chr12,49582826,49583128,+,53,NA,promoter-TSS (NM_006009),promoter-TSS (NM_006009),-114,NM_006009,7846,,NM_006009,ENSG00000167552,TUBA1A,B-ALPHA-1|LIS3|TUBA3,tubulin alpha 1a,protein-coding
siBAZ2B_3_peak_6232,chr4,13485970,13486380,+,53,NA,promoter-TSS (NM_001017979),promoter-TSS (NM_001017979),-186,NM_001159601,9364,,NM_004249,ENSG00000157869,RAB28,CORD18,"RAB28, member RAS oncogene family",protein-coding
siBAZ2B_3_peak_156,chr1,27339480,27339796,+,53,NA,promoter-TSS (NM_052943),promoter-TSS (NM_052943),-297,NM_052943,115572,,NM_052943,ENSG00000158246,TENT5B,FAM46|FAM46B,terminal nucleotidyltransferase 5B,protein-coding
siBAZ2B_3_peak_6882,chr6,12011764,12012106,+,53,NA,promoter-TSS (NM_002114),promoter-TSS (NM_002114),-610,NM_002114,3096,,NM_002114,ENSG00000095951,HIVEP1,CIRIP|CRYBP1|GAAP|MBP-1|PRDII-BF1|Schnurri-1|ZAS1|ZNF40|ZNF40A,HIVEP zinc finger 1,protein-coding
siBAZ2B_3_peak_129,chr1,24592861,24593320,+,53,NA,Intergenic,Intergenic,-52757,NM_198174,57822,,NM_021180,ENSG00000158055,GRHL3,SOM|TFCP2L4|VWS2,grainyhead like transcription factor 3,protein-coding
siBAZ2B_3_peak_6804,chr5,172197916,172198287,+,53,NA,promoter-TSS (NM_004417),promoter-TSS (NM_004417),97,NM_004417,1843,,NM_004417,ENSG00000120129,DUSP1,CL100|HVH1|MKP-1|MKP1|PTPN10,dual specificity phosphatase 1,protein-coding
siBAZ2B_3_peak_8742,chrX,115001847,115002234,+,53,NA,"intron (NR_147172, intron 2 of 2)",CpG,44743,NR_147173,106029310,,NR_147172,,DANT1,-,"DXZ4 associated non-coding transcript 1, proximal",ncRNA
siBAZ2B_3_peak_7032,chr6,88117786,88118509,+,53,NA,"intron (NM_001031743, intron 1 of 12)",CpG,457,NM_001031743,154313,,NM_178823,ENSG00000272514,CFAP206,C6orf165|dJ382I10.1,cilia and flagella associated protein 206,protein-coding
siBAZ2B_3_peak_1390,chr11,62369124,62369597,+,53,NA,promoter-TSS (NM_001330292),promoter-TSS (NM_001330292),-23,NM_004739,9219,,NM_004739,ENSG00000149480,MTA2,MTA1L1|PID,metastasis associated 1 family member 2,protein-coding
siBAZ2B_3_peak_307,chr1,87379701,87380058,+,53,NA,promoter-TSS (NM_012262),promoter-TSS (NM_012262),-70,NM_004261,9403,,NM_004261,ENSG00000183291,SELENOF,SEP15,selenoprotein F,protein-coding
siBAZ2B_3_peak_8189,chr9,34637620,34637918,+,53,NA,promoter-TSS (NM_001282205),promoter-TSS (NM_001282205),15,NM_001282205,10280,,NM_005866,ENSG00000147955,SIGMAR1,ALS16|DSMA2|HMNR2|OPRS1|SIG-1R|SR-BP|SR-BP1|SRBP|hSigmaR1|sigma1R,sigma non-opioid intracellular receptor 1,protein-coding
siBAZ2B_3_peak_705,chr1,224752727,224753281,+,53,NA,"intron (NR_136295, intron 2 of 7)","intron (NR_136295, intron 2 of 7)",-51015,NR_136287,149111,,NM_152495,ENSG00000143786,CNIH3,CNIH-3,cornichon family AMPA receptor auxiliary protein 3,protein-coding
siBAZ2B_3_peak_1548,chr11,72999918,73000620,+,53,NA,"intron (NM_001277207, intron 2 of 2)","intron (NM_001277207, intron 2 of 2)",16886,NM_001277204,5031,,NM_004154,ENSG00000171631,P2RY6,P2Y6,pyrimidinergic receptor P2Y6,protein-coding
siBAZ2B_3_peak_3111,chr16,50186487,50187023,+,53,NA,promoter-TSS (NM_001365324),promoter-TSS (NM_001365324),-67,NM_001040285,64282,,NM_022447,ENSG00000121274,TENT4B,PAPD5|TRF4-2|TUT3,terminal nucleotidyltransferase 4B,protein-coding
siBAZ2B_3_peak_6233,chr4,15003756,15004108,+,53,NA,promoter-TSS (NM_182485),promoter-TSS (NM_182485),-173,NM_001177381,132864,,NM_182485,ENSG00000137449,CPEB2,CPE-BP2|CPEB-2|hCPEB-2,cytoplasmic polyadenylation element binding protein 2,protein-coding
siBAZ2B_3_peak_2188,chr13,37574573,37574871,+,53,NA,promoter-TSS (NM_181503),promoter-TSS (NM_181503),-201,NM_181503,11340,,NM_181503,ENSG00000120699,EXOSC8,CIP3|EAP2|OIP2|PCH1C|RRP43|Rrp43p|bA421P11.3|p9,exosome component 8,protein-coding
siBAZ2B_3_peak_278,chr1,63833238,63833559,+,53,NA,promoter-TSS (NM_013339),promoter-TSS (NM_013339),100,NM_013339,29929,,NM_013339,ENSG00000088035,ALG6,CDG1C,"ALG6 alpha-1,3-glucosyltransferase",protein-coding
siBAZ2B_3_peak_1129,chr10,124768039,124768842,+,53,NA,promoter-TSS (NM_001372130),promoter-TSS (NM_001372130),-82,NM_001609,36,,NM_001609,ENSG00000196177,ACADSB,2-MEBCAD|ACAD7|SBCAD,acyl-CoA dehydrogenase short/branched chain,protein-coding
siBAZ2B_3_peak_8052,chr8,141348919,141349248,+,53,NA,"intron (NM_001374684, intron 8 of 21)",CpG,118760,NM_001374683,83696,,NM_031466,ENSG00000167632,TRAPPC9,IBP|IKBKBBP|MRT13|NIBP|T1|TRS120,trafficking protein particle complex subunit 9,protein-coding
siBAZ2B_3_peak_6253,chr4,40579135,40579463,+,53,NA,"intron (NM_001371114, intron 1 of 5)","intron (NM_001371114, intron 1 of 5)",52582,NM_001098634,54502,,NM_019027,ENSG00000163694,RBM47,NET18,RNA binding motif protein 47,protein-coding
siBAZ2B_3_peak_8785,chrX,148622132,148622496,+,53,NA,promoter-TSS (NM_001324277),promoter-TSS (NM_001324277),168,NM_001324274,91966,,NM_178124,ENSG00000197620,EOLA1,CXorf40|CXorf40A,endothelium and lymphocyte associated ASCH domain 1,protein-coding
siBAZ2B_3_peak_3037,chr16,25268945,25269549,+,53,NA,promoter-TSS (NM_001012981),promoter-TSS (NM_001012981),-81,NM_001012981,342357,,NM_001012981,ENSG00000155592,ZKSCAN2,ZNF694|ZSCAN31|ZSCAN34,zinc finger with KRAB and SCAN domains 2,protein-coding
siBAZ2B_3_peak_2701,chr15,68346532,68346949,+,53,NA,promoter-TSS (NM_016166),promoter-TSS (NM_016166),87,NM_016166,8554,,NM_016166,ENSG00000033800,PIAS1,DDXBP1|GBP|GU/RH-II|ZMIZ3,protein inhibitor of activated STAT 1,protein-coding
siBAZ2B_3_peak_8839,chrY,17861387,17862233,+,53,NA,Intergenic,Intergenic,-945897,NR_046504,100874056,,NR_046504,ENSG00000228787,NLGN4Y-AS1,NLGN4Y-AS|NLGN4YAS,NLGN4Y antisense RNA 1,ncRNA
siBAZ2B_3_peak_3117,chr16,53737486,53738064,+,53,NA,promoter-TSS (NM_015272),promoter-TSS (NM_015272),-4,NM_001330538,23322,,NM_015272,ENSG00000103494,RPGRIP1L,COACH3|CORS3|FTM|JBTS7|MKS5|NPHP8|PPP1R134,RPGRIP1 like,protein-coding
siBAZ2B_3_peak_1025,chr10,99343858,99344224,+,53,NA,promoter-TSS (NM_001134670),promoter-TSS (NM_001134670),-61,NM_001134670,112817,,NM_138413,ENSG00000241935,HOGA1,C10orf65|DHDPS2|DHDPSL|HP3|NPL2,4-hydroxy-2-oxoglutarate aldolase 1,protein-coding
siBAZ2B_3_peak_6751,chr5,148737483,148738056,+,53,NA,promoter-TSS (NR_132366),promoter-TSS (NR_132366),160,NM_001301057,78991,,NM_024028,ENSG00000145882,PCYOX1L,-,prenylcysteine oxidase 1 like,protein-coding
siBAZ2B_3_peak_162,chr1,27869034,27869398,+,52,NA,"intron (NM_001371928, intron 8 of 8)",MIRb|SINE|MIR,-52538,NM_001201404,10163,,NM_006990,ENSG00000158195,WASF2,IMD2|SCAR2|WASF4|WAVE2|dJ393P12.2,WASP family member 2,protein-coding
siBAZ2B_3_peak_3249,chr16,87425308,87426146,+,52,NA,promoter-TSS (NM_022818),promoter-TSS (NM_022818),0,NM_001282683,79791,,NM_024735,ENSG00000103264,FBXO31,FBX14|FBXO14|Fbx31|MRT45|pp2386,F-box protein 31,protein-coding
siBAZ2B_3_peak_8528,chr9_gl000199_random,107111,107452,+,52,NA,NA,ALR/Alpha|Satellite|centr,NA,NA,,,,,,,,
siBAZ2B_3_peak_7035,chr6,90539364,90539844,+,52,NA,promoter-TSS (NM_001137668),promoter-TSS (NM_001137668),5,NM_012115,9994,,NM_012115,ENSG00000118412,CASP8AP2,CED-4|FLASH|RIP25,caspase 8 associated protein 2,protein-coding
siBAZ2B_3_peak_4949,chr2,97303623,97304183,+,52,NA,promoter-TSS (NR_047658),promoter-TSS (NR_047658),146,NM_001349256,55683,,NM_017991,ENSG00000114982,KANSL3,KIAA1310|NSL3|Rcd1,KAT8 regulatory NSL complex subunit 3,protein-coding
siBAZ2B_3_peak_501,chr1,156710518,156711176,+,52,NA,promoter-TSS (NM_024540),promoter-TSS (NM_024540),33,NM_024540,79590,,NM_024540,ENSG00000143314,MRPL24,L24mt|MRP-L18|MRP-L24|uL24m,mitochondrial ribosomal protein L24,protein-coding
siBAZ2B_3_peak_920,chr10,60028544,60029137,+,52,NA,promoter-TSS (NM_018464),promoter-TSS (NM_018464),-82,NM_018464,55847,,NM_018464,ENSG00000122873,CISD1,C10orf70|MDS029|ZCD1|mitoNEET,CDGSH iron sulfur domain 1,protein-coding
siBAZ2B_3_peak_5117,chr2,181845019,181845584,+,52,NA,promoter-TSS (NM_006357),promoter-TSS (NM_006357),-31,NM_006357,10477,,NM_006357,ENSG00000170035,UBE2E3,UBCH9|UbcM2,ubiquitin conjugating enzyme E2 E3,protein-coding
siBAZ2B_3_peak_8568,chrUn_gl000225,112591,113046,+,52,NA,NA,BSR/Beta|Satellite|Satellite,NA,NA,,,,,,,,
siBAZ2B_3_peak_6576,chr5,77995616,77995914,+,52,NA,Intergenic,Intergenic,-51170,NM_005779,10184,,NM_005779,ENSG00000145685,LHFPL2,-,LHFPL tetraspan subfamily member 2,protein-coding
