PeakID (cmd=annotatePeaks.pl siBAZ2B_siControl_raw_MACS2_overlap.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
siBAZ2B_3_peak_7170,chr6_cox_hap2,3616119,3616651,+,90,NA,promoter-TSS (NM_006913).6,promoter-TSS (NM_006913).6,181,NM_032741,10554,,NM_006411,ENSG00000204310,AGPAT1,1-AGPAT1|G15|LPAAT-alpha|LPAATA|LPLAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,protein-coding
siBAZ2B_3_peak_6990,chr6,44026244,44026713,+,90,NA,"intron (NR_125864, intron 1 of 4)","intron (NR_125864, intron 1 of 4)",15911,NR_125864,101929705,,NR_125864,ENSG00000237686,SCIRT,DATOC-1,stem cell inhibitory RNA transcript,ncRNA
siBAZ2B_3_peak_4337,chr19,41082441,41083203,+,90,NA,promoter-TSS (NM_138392),promoter-TSS (NM_138392),43,NM_138392,92799,,NM_138392,ENSG00000160410,SHKBP1,PP203|Sb1,SH3KBP1 binding protein 1,protein-coding
siBAZ2B_3_peak_4017,chr19,2059699,2060169,+,90,NA,Intergenic,Intergenic,-8691,NM_199054,2872,,NM_017572,ENSG00000099875,MKNK2,GPRK7|MNK2,MAPK interacting serine/threonine kinase 2,protein-coding
siBAZ2B_3_peak_6617,chr5,102594148,102595383,+,90,NA,promoter-TSS (NM_001377286),promoter-TSS (NM_001377286),34,NM_001316969,90355,,NM_033211,ENSG00000181751,MACIR,C5orf30,macrophage immunometabolism regulator,protein-coding
siBAZ2B_3_peak_5035,chr2,128785491,128786080,+,90,NA,promoter-TSS (NM_001145928),promoter-TSS (NM_001145928),-152,NM_001330303,79595,,NM_024545,ENSG00000136715,SAP130,-,Sin3A associated protein 130,protein-coding
siBAZ2B_3_peak_8090,chr8,144679430,144679872,+,90,NA,promoter-TSS (NM_001195203),promoter-TSS (NM_001195203),-66,NM_001960,1936,,NM_001960,ENSG00000104529,EEF1D,EF-1D|EF1D|FP1047,eukaryotic translation elongation factor 1 delta,protein-coding
siBAZ2B_3_peak_3819,chr17,76588409,76589043,+,90,NA,Intergenic,Intergenic,-15248,NM_173628,8632,,NM_003727,ENSG00000187775,DNAH17,DNAHL1|DNEL2|SPGF39,dynein axonemal heavy chain 17,protein-coding
siBAZ2B_3_peak_6610,chr5,96270601,96271467,+,90,NA,promoter-TSS (NM_005575),promoter-TSS (NM_005575),-750,NM_005575,4012,,NM_005575,ENSG00000113441,LNPEP,CAP|IRAP|P-LAP|PLAP,leucyl and cystinyl aminopeptidase,protein-coding
siBAZ2B_3_peak_6196,chr4,1340528,1341220,+,90,NA,promoter-TSS (NM_001317934),promoter-TSS (NM_001317934),-122,NM_020894,57654,,NM_020894,ENSG00000163945,UVSSA,KIAA1530|UVSS3,UV stimulated scaffold protein A,protein-coding
siBAZ2B_3_peak_6411,chr4,174255432,174255906,+,90,NA,promoter-TSS (NM_001130689),promoter-TSS (NM_001130689),-160,NM_001130688,3148,,NM_002129,ENSG00000164104,HMGB2,HMG2,high mobility group box 2,protein-coding
siBAZ2B_3_peak_2867,chr15,99791272,99791931,+,90,NA,promoter-TSS (NR_135755),promoter-TSS (NR_135755),-85,NM_001321675,123355,,NM_144598,ENSG00000168904,LRRC28,-,leucine rich repeat containing 28,protein-coding
siBAZ2B_3_peak_6932,chr6,32163377,32163859,+,90,NA,promoter-TSS (NM_022107).3,promoter-TSS (NM_022107).3,-318,NM_022107,63940,,NM_022107,ENSG00000213654,GPSM3,AGS4|C6orf9|G18|G18.1a|G18.1b|G18.2|NG1,G protein signaling modulator 3,protein-coding
siBAZ2B_3_peak_3594,chr17,43249649,43250501,+,89,NA,Intergenic,Intergenic,-1223,NR_135646,105371795,,NR_135646,ENSG00000267288,LOC105371795,-,uncharacterized LOC105371795,ncRNA
siBAZ2B_3_peak_816,chr10,12110572,12111085,+,89,NA,promoter-TSS (NM_018706),promoter-TSS (NM_018706),-125,NM_018706,55526,,NM_018706,ENSG00000181192,DHTKD1,AAKAD|AMOXAD|CMT2Q|E1a|OADC-E1|OADH-E1,dehydrogenase E1 and transketolase domain containing 1,protein-coding
siBAZ2B_3_peak_1224,chr11,6704347,6704774,+,89,NA,promoter-TSS (NM_022061),promoter-TSS (NM_022061),11,NM_022061,63875,,NM_022061,ENSG00000158042,MRPL17,L17mt|LIP2|MRP-L17|MRP-L26|RPL17L|RPML26|bL17m,mitochondrial ribosomal protein L17,protein-coding
siBAZ2B_3_peak_7977,chr8,101321968,101322713,+,89,NA,promoter-TSS (NM_001353838),promoter-TSS (NM_001353838),-159,NM_183419,25897,,NM_015435,ENSG00000034677,RNF19A,RNF19,"ring finger protein 19A, RBR E3 ubiquitin protein ligase",protein-coding
siBAZ2B_3_peak_3222,chr16,81110300,81110998,+,89,NA,"intron (NM_152337, intron 1 of 3)",CpG,194,NM_152337,123775,,NM_152337,ENSG00000166455,C16orf46,-,chromosome 16 open reading frame 46,protein-coding
siBAZ2B_3_peak_8092,chr8,144691509,144692165,+,89,NA,promoter-TSS (NM_001329866),promoter-TSS (NM_001329866),-92,NR_138144,65263,,NM_023078,ENSG00000104524,PYCR3,PYCRL,pyrroline-5-carboxylate reductase 3,protein-coding
siBAZ2B_3_peak_2804,chr15,85143720,85144660,+,89,NA,promoter-TSS (NM_017894),promoter-TSS (NM_017894),-50,NM_001007072,54993,,NM_017894,ENSG00000176371,ZSCAN2,ZFP29|ZNF854,zinc finger and SCAN domain containing 2,protein-coding
siBAZ2B_3_peak_4122,chr19,11616133,11616572,+,89,NA,TTS (NM_001142464),TTS (NM_001142464),302,NM_138783,115950,,NM_138783,ENSG00000161914,ZNF653,E430039K05Rik|ZIP67,zinc finger protein 653,protein-coding
siBAZ2B_3_peak_466,chr1,155107624,155108424,+,89,NA,promoter-TSS (NM_001122837),promoter-TSS (NM_001122837),173,NM_001287591,55974,,NM_018845,ENSG00000169241,SLC50A1,HsSWEET1|RAG1AP1|SCP|SWEET1|slv,solute carrier family 50 member 1,protein-coding
siBAZ2B_3_peak_4449,chr19,48103552,48104021,+,89,NA,Intergenic,CpG,-7667,NM_015711,29998,,NM_015711,ENSG00000063169,BICRA,CSS12|GLTSCR1|SMARCK1,BRD4 interacting chromatin remodeling complex associated protein,protein-coding
siBAZ2B_3_peak_1739,chr12,9102098,9102713,+,89,NA,promoter-TSS (NM_001329103),promoter-TSS (NM_001329103),-48,NM_001207024,4074,,NM_002355,ENSG00000003056,M6PR,CD-M6PR|CD-MPR|MPR 46|MPR-46|MPR46|SMPR,"mannose-6-phosphate receptor, cation dependent",protein-coding
siBAZ2B_3_peak_4444,chr19,47792758,47793158,+,89,NA,Intergenic,MER66B|LTR|ERV1,14816,NM_178511,255783,,NM_178511,ENSG00000257704,INAFM1,PRR24,InaF motif containing 1,protein-coding
siBAZ2B_3_peak_6901,chr6,24721058,24721901,+,89,NA,Intergenic,CpG,-2097,NM_030939,81688,,NM_030939,ENSG00000112308,C6orf62,Nbla00237|XTP12|dJ30M3.2,chromosome 6 open reading frame 62,protein-coding
siBAZ2B_3_peak_7588,chr7,102714950,102715962,+,89,NA,promoter-TSS (NM_001161009),promoter-TSS (NM_001161009),128,NM_001161011,83787,,NM_031905,ENSG00000170632,ARMC10,PNAS-112|PNAS112|PSEC0198|SVH,armadillo repeat containing 10,protein-coding
siBAZ2B_3_peak_8522,chr9,141121906,141122772,+,89,NA,Intergenic,Intergenic,-28436,NR_135133,101928932,,NR_135133,ENSG00000237419,LOC101928932,-,uncharacterized LOC101928932,ncRNA
siBAZ2B_3_peak_4372,chr19,42806234,42807095,+,89,NA,"5' UTR (NM_001145939, exon 1 of 6)","5' UTR (NM_001145939, exon 1 of 6)",112,NM_002573,5050,,NM_002573,ENSG00000079462,PAFAH1B3,PAFAHG,platelet activating factor acetylhydrolase 1b catalytic subunit 3,protein-coding
siBAZ2B_3_peak_8508,chr9,140044969,140045989,+,89,NA,"intron (NM_001185090, intron 5 of 20)","intron (NM_001185090, intron 5 of 20)",11873,NM_000832,2902,,NM_000832,ENSG00000176884,GRIN1,DEE101|GluN1|MRD8|NDHMSD|NDHMSR|NMD-R1|NMDA1|NMDAR1|NR1,glutamate ionotropic receptor NMDA type subunit 1,protein-coding
siBAZ2B_3_peak_932,chr10,69834443,69835030,+,89,NA,"intron (NM_022079, intron 1 of 25)",CpG,304,NM_022079,26091,,NM_015601,ENSG00000148634,HERC4,-,HECT and RLD domain containing E3 ubiquitin protein ligase 4,protein-coding
siBAZ2B_3_peak_5378,chr20,23342374,23343076,+,89,NA,promoter-TSS (NM_022482),promoter-TSS (NM_022482),-94,NM_001317012,64412,,NM_022482,ENSG00000125812,GZF1,JLSM|ZBTB23|ZNF336,GDNF inducible zinc finger protein 1,protein-coding
siBAZ2B_3_peak_1464,chr11,65479472,65480142,+,89,NA,promoter-TSS (NM_006388),promoter-TSS (NM_006388),84,NM_001206833,10524,,NM_006388,ENSG00000172977,KAT5,ESA1|HTATIP|HTATIP1|NEDFASB|PLIP|TIP|TIP60|ZC2HC5|cPLA2,lysine acetyltransferase 5,protein-coding
siBAZ2B_3_peak_2156,chr12,133174491,133175482,+,89,NA,Intergenic,C-rich|Low_complexity|Low_complexity,12182,NM_001195520,100507055,,NM_001195520,ENSG00000204583,LRCOL1,-,leucine rich colipase like 1,protein-coding
siBAZ2B_3_peak_770,chr1,244211226,244211895,+,89,NA,promoter-TSS (NM_001278196),promoter-TSS (NM_001278196),-681,NM_001278196,10472,,NM_006352,ENSG00000179456,ZBTB18,C1DELq42q44|C1DELq43q44|C2H2-171|DEL1Q42Q44|DEL1Q43Q44|MRD22|RP58|TAZ-1|ZNF238,zinc finger and BTB domain containing 18,protein-coding
siBAZ2B_3_peak_5162,chr2,203240578,203240952,+,89,NA,promoter-TSS (NM_001204),promoter-TSS (NM_001204),-285,NM_001204,659,,NM_001204,ENSG00000204217,BMPR2,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK,bone morphogenetic protein receptor type 2,protein-coding
siBAZ2B_3_peak_5369,chr20,20032875,20033423,+,89,NA,promoter-TSS (NM_001278628),promoter-TSS (NM_001278628),-27,NM_015585,26074,,NM_015585,ENSG00000089101,CFAP61,C20orf26|CaM-IP3|SPGF84|dJ1002M8.3|dJ1178H5.4,cilia and flagella associated protein 61,protein-coding
siBAZ2B_3_peak_3428,chr17,19093590,19093903,+,89,NA,promoter-TSS (NR_006881),promoter-TSS (NR_006881),-188,NR_006881,780853,,NR_006881,,SNORD3C,RNU3-3|U3-3,"small nucleolar RNA, C/D box 3C",snoRNA
siBAZ2B_3_peak_6053,chr3,133292091,133292603,+,88,NA,promoter-TSS (NM_001134423),promoter-TSS (NM_001134423),-183,NM_001134422,55573,,NM_017548,ENSG00000091527,CDV3,H41,CDV3 homolog,protein-coding
siBAZ2B_3_peak_1184,chr11,809261,809887,+,88,NA,promoter-TSS (NM_001004),promoter-TSS (NM_001004),-393,NM_001004,6181,,NM_001004,ENSG00000177600,RPLP2,D11S2243E|LP2|P2|RPP2,ribosomal protein lateral stalk subunit P2,protein-coding
siBAZ2B_3_peak_3524,chr17,38136513,38137211,+,88,NA,promoter-TSS (NM_002809),promoter-TSS (NM_002809),-198,NM_002809,5709,,NM_002809,ENSG00000108344,PSMD3,P58|RPN3|S3|TSTA2,"proteasome 26S subunit, non-ATPase 3",protein-coding
siBAZ2B_3_peak_5724,chr22,41047814,41048134,+,88,NA,Intergenic,Intergenic,-15251,NM_001282662,57591,,NM_020831,ENSG00000196588,MRTFA,BSAC|MAL|MKL|MKL1|MRTF-A,myocardin related transcription factor A,protein-coding
siBAZ2B_3_peak_2287,chr14,21924089,21924741,+,88,NA,promoter-TSS (NM_001170629),promoter-TSS (NM_001170629),-133,NM_001170629,57680,,NM_020920,ENSG00000100888,CHD8,AUTS18|HELSNF1|IDDAM,chromodomain helicase DNA binding protein 8,protein-coding
siBAZ2B_3_peak_989,chr10,89101929,89102922,+,88,NA,promoter-TSS (NR_024397),promoter-TSS (NR_024397),-68,NR_135292,439994,,NR_029408,ENSG00000224914,LINC00863,-,long intergenic non-protein coding RNA 863,ncRNA
siBAZ2B_3_peak_4096,chr19,8943238,8943641,+,88,NA,promoter-TSS (NM_144693),promoter-TSS (NM_144693),-459,NM_144693,148156,,NM_144693,ENSG00000167785,ZNF558,-,zinc finger protein 558,protein-coding
siBAZ2B_3_peak_4757,chr2,42396208,42396684,+,88,NA,promoter-TSS (NM_001145076),promoter-TSS (NM_001145076),-47,NM_019063,27436,,NM_019063,ENSG00000143924,EML4,C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120,EMAP like 4,protein-coding
siBAZ2B_3_peak_5889,chr3,48229826,48230194,+,88,NA,promoter-TSS (NM_001789),promoter-TSS (NM_001789),-103,NM_001789,993,,NM_001789,ENSG00000164045,CDC25A,CDC25A2,cell division cycle 25A,protein-coding
siBAZ2B_3_peak_4042,chr19,3557470,3558397,+,88,NA,promoter-TSS (NM_001287529),promoter-TSS (NM_001287529),-349,NM_174983,126321,,NM_021731,ENSG00000161091,MFSD12,C19orf28|PP3501|SLC59B1,major facilitator superfamily domain containing 12,protein-coding
siBAZ2B_3_peak_7479,chr7,74572337,74573352,+,88,NA,"intron (NR_003187, intron 10 of 10)",CpG,14958,NR_003187,654817,,NR_003187,ENSG00000165178,NCF1C,SH3PXD1C,neutrophil cytosolic factor 1C (pseudogene),pseudo
siBAZ2B_3_peak_6058,chr3,135914930,135915754,+,88,NA,promoter-TSS (NM_018133),promoter-TSS (NM_018133),-165,NM_018133,55167,,NM_018133,ENSG00000174579,MSL2,MSL-2|MSL2L1|RNF184,MSL complex subunit 2,protein-coding
siBAZ2B_3_peak_4184,chr19,17889086,17889636,+,88,NA,"intron (NR_169226, intron 19 of 27)","intron (NR_169226, intron 19 of 27)",-16586,NM_014256,10331,,NM_014256,ENSG00000179913,B3GNT3,B3GAL-T8|B3GN-T3|B3GNT-3|HP10328|TMEM3|beta3Gn-T3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",protein-coding
siBAZ2B_3_peak_1834,chr12,51441638,51441987,+,88,NA,promoter-TSS (NM_001351321),promoter-TSS (NM_001351321),-191,NR_147098,25875,,NM_015416,ENSG00000050426,LETMD1,1110019O13Rik|HCCR|HCCR-1|HCCR-2|HCCR1|HCCR2|HCRR-2|SLC55A3,LETM1 domain containing 1,protein-coding
siBAZ2B_3_peak_3526,chr17,38255268,38255704,+,88,NA,"intron (NM_021724, intron 1 of 7)",CpG,1356,NM_021724,9572,,NM_021724,ENSG00000126368,NR1D1,EAR1|REVERBA|REVERBalpha|THRA1|THRAL|ear-1|hRev,nuclear receptor subfamily 1 group D member 1,protein-coding
siBAZ2B_3_peak_1839,chr12,52416817,52417590,+,88,NA,"intron (NM_001202233, intron 1 of 7)",CpG,587,NM_001202233,3164,,NM_002135,ENSG00000123358,NR4A1,GFRP1|HMR|N10|NAK-1|NGFIB|NP10|NUR77|TR3,nuclear receptor subfamily 4 group A member 1,protein-coding
siBAZ2B_3_peak_1342,chr11,51588764,51589110,+,88,NA,Intergenic,ALR/Alpha|Satellite|centr,73655,NM_001004703,119749,,NM_001004703,ENSG00000185926,OR4C46,-,olfactory receptor family 4 subfamily C member 46,protein-coding
siBAZ2B_3_peak_1422,chr11,64072557,64073317,+,88,NA,promoter-TSS (NM_004451),promoter-TSS (NM_004451),-59,NM_004451,2101,,NM_004451,ENSG00000173153,ESRRA,ERR1|ERRa|ERRalpha|ESRL1|NR3B1,estrogen related receptor alpha,protein-coding
siBAZ2B_3_peak_8089,chr8,144635520,144636189,+,88,NA,"5' UTR (NM_001166237, exon 1 of 14)","5' UTR (NM_001166237, exon 1 of 14)",297,NM_001166237,79792,,NM_024736,ENSG00000104518,GSDMD,DF5L|DFNA5L|FKSG10|GSDMDC1,gasdermin D,protein-coding
siBAZ2B_3_peak_4338,chr19,41109551,41110178,+,88,NA,"intron (NM_001042545, intron 1 of 30)",CpG,2589,NM_001042545,8425,,NM_003573,ENSG00000090006,LTBP4,ARCL1C|LTBP-4|LTBP4L|LTBP4S,latent transforming growth factor beta binding protein 4,protein-coding
siBAZ2B_3_peak_829,chr10,15001283,15001989,+,87,NA,"intron (NR_147060, intron 1 of 2)",CpG,249,NR_147060,644890,,NM_001080836,ENSG00000197889,MEIG1,SPATA39|bA2K17.3,meiosis/spermiogenesis associated 1,protein-coding
siBAZ2B_3_peak_3530,chr17,38443785,38444503,+,87,NA,promoter-TSS (NM_001254),promoter-TSS (NM_001254),13,NM_001254,990,,NM_001254,ENSG00000094804,CDC6,CDC18L|HsCDC18|HsCDC6|MGORS5,cell division cycle 6,protein-coding
siBAZ2B_3_peak_2848,chr15,91478221,91478856,+,87,NA,promoter-TSS (NM_018671),promoter-TSS (NM_018671),23,NM_018671,55898,,NM_017979,ENSG00000140553,UNC45A,GC-UNC45|GCUNC-45|GCUNC45|IRO039700|OOHE|SMAP-1|SMAP1|UNC-45A,unc-45 myosin chaperone A,protein-coding
siBAZ2B_3_peak_8419,chr9,130565081,130565500,+,87,NA,promoter-TSS (NM_001018078),promoter-TSS (NM_001018078),129,NM_004957,2356,,NM_004957,ENSG00000136877,FPGS,-,folylpolyglutamate synthase,protein-coding
siBAZ2B_3_peak_4712,chr2,27651923,27652449,+,87,NA,"intron (NM_001321359, intron 1 of 18)","intron (NM_001321359, intron 1 of 18)",688,NM_013392,29959,,NM_013392,ENSG00000115216,NRBP1,BCON3|MADM|MUDPNP|NRBP,nuclear receptor binding protein 1,protein-coding
siBAZ2B_3_peak_6747,chr5,148205650,148206343,+,87,NA,promoter-TSS (NM_000024),promoter-TSS (NM_000024),-178,NM_000024,154,,NM_000024,ENSG00000169252,ADRB2,ADRB2R|ADRBR|ARB2|B2AR|BAR|BETA2AR,adrenoceptor beta 2,protein-coding
siBAZ2B_3_peak_7704,chr7,155088917,155089689,+,87,NA,promoter-TSS (NM_001346593),promoter-TSS (NM_001346593),-179,NM_001346591,3638,,NM_005542,ENSG00000186480,INSIG1,CL6,insulin induced gene 1,protein-coding
siBAZ2B_3_peak_4679,chr2,25264412,25265131,+,87,NA,promoter-TSS (NM_014971),promoter-TSS (NM_014971),-174,NM_014971,22979,,NM_014971,ENSG00000084710,EFR3B,KIAA0953,EFR3 homolog B,protein-coding
siBAZ2B_3_peak_4970,chr2,101868798,101869193,+,87,NA,promoter-TSS (NM_017546),promoter-TSS (NM_017546),-353,NM_017546,55571,,NM_017546,ENSG00000158435,CNOT11,C2orf29|C40,CCR4-NOT transcription complex subunit 11,protein-coding
siBAZ2B_3_peak_4879,chr2,74405500,74406366,+,87,NA,promoter-TSS (NM_001317110),promoter-TSS (NM_001317110),73,NM_018221,55233,,NM_018221,ENSG00000114978,MOB1A,C2orf6|MABKL1B|MATS1|MOB1|MOBK1B|MOBKL1B|Mob4B,MOB kinase activator 1A,protein-coding
siBAZ2B_3_peak_4243,chr19,33864232,33865111,+,87,NA,promoter-TSS (NM_001252296),promoter-TSS (NM_001252296),56,NM_001806,1054,,NM_001806,ENSG00000153879,CEBPG,GPE1BP|IG/EBP-1,CCAAT enhancer binding protein gamma,protein-coding
siBAZ2B_3_peak_3571,chr17,41919557,41920283,+,87,NA,Intergenic,CT-rich|Low_complexity|Low_complexity,-4624,NM_001168322,146894,,NM_145273,ENSG00000161649,CD300LG,CLM-9|CLM9|NEPMUCIN|TREM-4|TREM4,CD300 molecule like family member g,protein-coding
siBAZ2B_3_peak_2363,chr14,53257824,53258818,+,87,NA,promoter-TSS (NM_198066),promoter-TSS (NM_198066),4,NM_198066,64841,,NM_198066,ENSG00000100522,GNPNAT1,GNA1|GNPNAT|Gpnat1|RHZDAN,glucosamine-phosphate N-acetyltransferase 1,protein-coding
siBAZ2B_3_peak_2907,chr16,1020645,1021410,+,87,NA,promoter-TSS (NM_001352021),promoter-TSS (NM_001352021),-28,NM_001352020,64788,,NM_022773,ENSG00000103227,LMF1,C16orf26|HMFN1876|JFP11|TMEM112|TMEM112A,lipase maturation factor 1,protein-coding
siBAZ2B_3_peak_486,chr1,156076064,156076431,+,87,NA,"intron (NM_001282625, intron 3 of 12)","intron (NM_001282625, intron 3 of 12)",-8255,NM_170708,4000,,NM_005572,ENSG00000160789,LMNA,CDCD1|CDDC|CMD1A|CMT2B1|EMD2|FPL|FPLD|FPLD2|HGPS|IDC|LDP1|LFP|LGMD1B|LMN1|LMNC|LMNL1|MADA|PRO1,lamin A/C,protein-coding
siBAZ2B_3_peak_8114,chr8,145653585,145654227,+,87,NA,promoter-TSS (NM_183057),promoter-TSS (NM_183057),25,NM_016208,51160,,NM_016208,ENSG00000160948,VPS28,CIIA,VPS28 subunit of ESCRT-I,protein-coding
siBAZ2B_3_peak_8530,chr9_gl000199_random,168093,168606,+,87,NA,NA,ALR/Alpha|Satellite|centr,NA,NA,,,,,,,,
siBAZ2B_3_peak_4223,chr19,28284284,28284674,+,87,NA,promoter-TSS (NR_110687),promoter-TSS (NR_110687),140,NR_110688,101927151,,NR_110687,ENSG00000267575,LINC02987,-,long intergenic non-protein coding RNA 2987,ncRNA
siBAZ2B_3_peak_4022,chr19,2168910,2169345,+,87,NA,"intron (NM_032482, intron 1 of 27)","intron (NM_032482, intron 1 of 27)",5195,NM_032482,84444,,NM_032482,ENSG00000104885,DOT1L,DOT1|KMT4,DOT1 like histone lysine methyltransferase,protein-coding
siBAZ2B_3_peak_3653,chr17,48637443,48638141,+,87,NA,promoter-TSS (NM_001256324),promoter-TSS (NM_001256324),-284,NM_198379,8913,,NM_018896,ENSG00000006283,CACNA1G,Ca(V)T.1|Cav3.1|NBR13|SCA42|SCA42ND,calcium voltage-gated channel subunit alpha1 G,protein-coding
siBAZ2B_3_peak_6803,chr5,172192236,172192860,+,87,NA,Intergenic,Intergenic,5650,NM_004417,1843,,NM_004417,ENSG00000120129,DUSP1,CL100|HVH1|MKP-1|MKP1|PTPN10,dual specificity phosphatase 1,protein-coding
siBAZ2B_3_peak_1714,chr12,6873362,6873922,+,87,NA,Intergenic,Intergenic,-1887,NM_002824,5763,,NM_002824,ENSG00000159335,PTMS,ParaT,parathymosin,protein-coding
siBAZ2B_3_peak_2489,chr14,100680484,100680807,+,87,NA,Intergenic,CpG,-24836,NM_003403,7528,,NM_003403,ENSG00000100811,YY1,DELTA|GADEVS|INO80S|NF-E1|UCRBP|YIN-YANG-1,YY1 transcription factor,protein-coding
siBAZ2B_3_peak_5213,chr2,220252079,220252703,+,87,NA,promoter-TSS (NM_001319118),promoter-TSS (NM_001319118),243,NM_001319122,23549,,NM_012100,ENSG00000123992,DNPEP,ASPEP|DAP,aspartyl aminopeptidase,protein-coding
siBAZ2B_3_peak_8285,chr9,88555770,88556634,+,87,NA,promoter-TSS (NM_001321882),promoter-TSS (NM_001321882),141,NM_024635,60560,,NM_021929,ENSG00000135040,NAA35,EGAP|MAK10|MAK10P|bA379P1.1,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",protein-coding
siBAZ2B_3_peak_1544,chr11,72853217,72853838,+,87,NA,promoter-TSS (NM_014824),promoter-TSS (NM_014824),-164,NM_014824,9873,,NM_014824,ENSG00000137478,FCHSD2,NWK|NWK1|SH3MD3,FCH and double SH3 domains 2,protein-coding
siBAZ2B_3_peak_6843,chr5,180236850,180237536,+,86,NA,promoter-TSS (NR_157152),promoter-TSS (NR_157152),-56,NM_001114617,4245,,NM_002406,ENSG00000131446,MGAT1,GLCNAC-TI|GLCT1|GLYT1|GNT-1|GNT-I|GnTI|MGAT,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",protein-coding
siBAZ2B_3_peak_5999,chr3,113775122,113775741,+,86,NA,promoter-TSS (NM_001353767),promoter-TSS (NM_001353767),29,NM_001353767,57577,,NM_020817,ENSG00000163617,CCDC191,KIAA1407,coiled-coil domain containing 191,protein-coding
siBAZ2B_3_peak_5828,chr3,23986920,23987947,+,86,NA,promoter-TSS (NM_001145425),promoter-TSS (NM_001145425),-179,NM_001145425,9975,,NM_005126,ENSG00000174738,NR1D2,BD73|EAR-1R|REVERBB|REVERBbeta|RVR,nuclear receptor subfamily 1 group D member 2,protein-coding
siBAZ2B_3_peak_1190,chr11,910471,911230,+,86,NA,promoter-TSS (NM_001142674),promoter-TSS (NM_001142674),-40,NM_001142677,66005,,NM_023947,ENSG00000177830,CHID1,GL008|SI-CLP|SICLP,chitinase domain containing 1,protein-coding
siBAZ2B_3_peak_7860,chr8,42698155,42698538,+,86,NA,"5' UTR (NM_018105, exon 1 of 3)","5' UTR (NM_018105, exon 1 of 3)",122,NM_018105,55145,,NM_018105,ENSG00000131931,THAP1,DYT6,THAP domain containing 1,protein-coding
siBAZ2B_3_peak_4955,chr2,97778985,97779524,+,86,NA,"5' UTR (NM_198555, exon 1 of 3)","5' UTR (NM_198555, exon 1 of 3)",364,NM_198555,375248,,NM_198555,ENSG00000135976,ANKRD36,UNQ2430,ankyrin repeat domain 36,protein-coding
siBAZ2B_3_peak_182,chr1,32859822,32860563,+,86,NA,promoter-TSS (NM_001143888),promoter-TSS (NM_001143888),-150,NM_001300958,55108,,NM_018045,ENSG00000160058,BSDC1,-,BSD domain containing 1,protein-coding
siBAZ2B_3_peak_5604,chr21,46975701,46976206,+,86,NA,"intron (NM_001352511, intron 1 of 5)",CpG,6986,NM_001352511,6573,,NM_003056,ENSG00000173638,SLC19A1,CHMD|FOLT|IFC-1|IFC1|IMD114|MEGAF|REFC|RFC|RFC1|RFT-1|hRFC|hSLC19A1,solute carrier family 19 member 1,protein-coding
siBAZ2B_3_peak_3178,chr16,69760486,69760905,+,86,NA,promoter-TSS (NM_001025433),promoter-TSS (NM_001025433),-232,NM_001286137,1728,,NM_000903,ENSG00000181019,NQO1,DHQU|DIA4|DTD|NMOR1|NMORI|QR1,NAD(P)H quinone dehydrogenase 1,protein-coding
siBAZ2B_3_peak_5735,chr22,42016660,42017443,+,86,NA,promoter-TSS (NM_001288977),promoter-TSS (NM_001288977),-4,NM_015704,27351,,NM_015704,ENSG00000100418,DESI1,D15Wsu75e|DESI2|DJ347H13.4|DeSI-1|FAM152B|POST|PPPDE2,desumoylating isopeptidase 1,protein-coding
siBAZ2B_3_peak_7953,chr8,93977868,93978463,+,86,NA,promoter-TSS (NM_001191036),promoter-TSS (NM_001191036),207,NM_001171796,286144,,NM_001171795,ENSG00000205133,TRIQK,C8orf83|PRO0845|UPF0599,triple QxxK/R motif containing,protein-coding
siBAZ2B_3_peak_7407,chr7,44621573,44622259,+,86,NA,promoter-TSS (NM_182547),promoter-TSS (NM_182547),-22,NM_001303060,222068,,NM_182547,ENSG00000158604,TMED4,ERS25|GMP25iso|HNLF|p24a3|p24alpha3,transmembrane p24 trafficking protein 4,protein-coding
siBAZ2B_3_peak_468,chr1,155161298,155161618,+,86,NA,"exon (NM_001204286, exon 3 of 9)","exon (NM_001204286, exon 3 of 9)",1242,NM_001204293,4582,,NM_002456,ENSG00000185499,MUC1,ADMCKD|ADMCKD1|ADTKD2|CA 15-3|CD227|Ca15-3|EMA|H23AG|KL-6|MAM6|MCD|MCKD|MCKD1|MUC-1|MUC-1/SEC|MUC-1/X|MUC1/ZD|PEM|PEMT|PUM,"mucin 1, cell surface associated",protein-coding
siBAZ2B_3_peak_3600,chr17,43503016,43503494,+,86,NA,promoter-TSS (NM_199282),promoter-TSS (NM_199282),-256,NR_169609,201176,,NM_174919,ENSG00000159314,ARHGAP27,CAMGAP1|PP905|SH3D20|SH3P20,Rho GTPase activating protein 27,protein-coding
