,Uniprot,Protein Symbol,Antibody Link,Number of Antibodies,Number of Providers,Article Count,Interactions,GO Score,UV Score,Overall Score,GO Terms
255,Q16650,TBR1,https://www.antibodypedia.com/gene/35331/TBR1,205,31,375,1,7,0,3.1470529723639036,"['C:chromatin', 'C:nucleus', 'F:chromatin DNA binding', 'F:DNA-binding transcription factor activity', 'F:DNA-binding transcription factor activity, RNA polymerase II-specific', 'F:protein kinase binding', 'F:RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'P:amygdala development', 'P:brain development', 'P:cell fate specification', 'P:cerebral cortex development', 'P:chromatin remodeling', 'P:commitment of neuronal cell to specific neuron type in forebrain', 'P:conditioned taste aversion', 'P:gene expression', 'P:hindbrain development', 'P:negative regulation of DNA-templated transcription', 'P:positive regulation of transcription by RNA polymerase II', 'P:regulation of axon guidance', 'P:regulation of neuron projection development', 'P:regulation of transcription by RNA polymerase II', 'P:specification of animal organ identity']"
256,Q17R98,ZNF827,https://www.antibodypedia.com/gene/56760/ZNF827,21,10,16,1,3,1,2.7197779861383413,"['C:chromatin', 'C:chromosome, telomeric region', 'C:nucleus', 'C:ribonucleoprotein complex', 'F:DNA binding', 'F:metal ion binding', 'F:NuRD complex binding', 'P:chromatin remodeling', 'P:establishment of protein localization to telomere', 'P:negative regulation of DNA-templated transcription', 'P:negative regulation of shelterin complex assembly', 'P:positive regulation of transcription by RNA polymerase II', 'P:telomere maintenance']"
257,Q17RY0,CPEB4,https://www.antibodypedia.com/gene/28980/CPEB4,149,23,140,4,-3,1,0.7554231221789629,"['C:cytoplasm', 'C:dendrite', 'C:dendritic spine', 'C:endoplasmic reticulum', 'C:growth cone', 'C:messenger ribonucleoprotein complex', 'C:neuron projection', 'C:nucleus', 'C:perinuclear region of cytoplasm', 'C:postsynaptic density', 'C:synapse', 'F:metal ion binding', ""F:mRNA 3'-UTR binding"", 'F:mRNA regulatory element binding translation repressor activity', 'F:ribosome binding', 'F:RNA binding', 'F:translation factor activity, RNA binding', 'P:cellular response to amino acid stimulus', 'P:cellular response to decreased oxygen levels', 'P:cellular response to glucose starvation', 'P:ionotropic glutamate receptor signaling pathway', 'P:negative regulation of cytoplasmic translation', 'P:negative regulation of neuron apoptotic process', 'P:response to ischemia']"
258,Q27J81,INF2,https://www.antibodypedia.com/gene/14838/INF2,193,28,343,7,0,0,1.1340533583899737,"['C:actin filament', 'C:perinuclear region of cytoplasm', 'F:actin binding', 'F:small GTPase binding', 'P:actin filament polymerization', 'P:regulation of mitochondrial fission']"
259,Q2LD37,KIAA1109,https://www.antibodypedia.com/gene/26783/KIAA1109,12,7,48,1,0,1,1.4083756831475605,"['C:endoplasmic reticulum membrane', 'C:endoplasmic reticulum-plasma membrane contact site', 'C:membrane', 'C:mitochondrial membrane', 'C:nucleus', 'C:plasma membrane', 'C:presynapse', 'F:phosphatidylethanolamine transfer activity', 'P:endocytic recycling', 'P:endosomal transport', 'P:intermembrane lipid transfer', 'P:phagocytosis', 'P:regulation of cell growth', 'P:regulation of epithelial cell differentiation', 'P:synaptic vesicle endocytosis']"
260,Q2M2I8,AAK1,https://www.antibodypedia.com/gene/7943/AAK1,349,38,149,4,0,1,2.3401594111519475,"['C:cell leading edge', 'C:clathrin-coated pit', 'C:clathrin-coated vesicle', 'C:cytosol', 'C:intracellular membrane-bounded organelle', 'C:plasma membrane', 'C:presynapse', 'C:terminal bouton', 'F:AP-2 adaptor complex binding', 'F:ATP binding', 'F:Notch binding', 'F:protein serine kinase activity', 'F:protein serine/threonine kinase activity', 'P:membrane organization', 'P:positive regulation of Notch signaling pathway', 'P:presynaptic endocytosis', 'P:protein phosphorylation', 'P:protein stabilization', 'P:regulation of clathrin-dependent endocytosis', 'P:regulation of protein localization']"
261,Q2TAY7,SMU1,https://www.antibodypedia.com/gene/10816/SMU1,111,23,34,6,-3,1,1.0958973274916617,"['C:cytoplasm', 'C:nuclear speck', 'C:nucleoplasm', 'C:nucleus', 'C:precatalytic spliceosome', 'C:U2-type precatalytic spliceosome', 'P:mRNA splicing, via spliceosome', 'P:regulation of alternative mRNA splicing, via spliceosome', 'P:RNA splicing']"
262,Q2V2M9,FHOD3,https://www.antibodypedia.com/gene/8734/FHOD3,51,12,74,0,0,-1,-1.2488888219049867,"['C:cytoplasm', 'C:cytoskeleton', 'C:Z disc', 'F:actin filament binding', 'P:cardiac myofibril assembly', 'P:cortical actin cytoskeleton organization', 'P:sarcomere organization']"
263,Q2YD98,UVSSA,https://www.antibodypedia.com/gene/22237/UVSSA,43,17,55,4,1,1,2.348931743405088,"['C:chromosome', 'C:nucleoplasm', 'F:RNA polymerase II complex binding', 'P:protein ubiquitination', 'P:response to UV', 'P:transcription-coupled nucleotide-excision repair']"
264,Q32NC0,C18orf21,https://www.antibodypedia.com/gene/54637/C18orf21,24,10,2,1,0,1,1.4650818636859135,[]
265,Q32P51,HNRNPA1L2,https://www.antibodypedia.com/gene/35162/HNRNPA1L2,29,11,4,1,-1,1,1.047847248609124,"['C:catalytic step 2 spliceosome', 'C:cytoplasm', ""F:mRNA 3'-UTR binding"", 'P:mRNA splicing, via spliceosome', 'P:mRNA transport']"
266,Q3B7T1,EDRF1,https://www.antibodypedia.com/gene/32399/EDRF1,55,13,11,0,1,1,1.7735590092403215,"['C:nucleus', 'P:positive regulation of DNA-templated transcription']"
267,Q460N5,PARP14,https://www.antibodypedia.com/gene/2150/PARP14,89,19,146,1,1,1,1.875898583306363,"['C:cytoplasm', 'C:cytosol', 'C:membrane', 'C:nucleus', 'C:plasma membrane', 'F:enzyme binding', 'F:NAD+ ADP-ribosyltransferase activity', 'F:NAD+ binding', 'F:NAD+-protein ADP-ribosyltransferase activity', 'F:nucleotidyltransferase activity', 'F:transcription corepressor activity', 'P:innate immune response', 'P:negative regulation of gene expression', 'P:negative regulation of type II interferon-mediated signaling pathway', 'P:negative regulation of tyrosine phosphorylation of STAT protein', 'P:positive regulation of interleukin-4-mediated signaling pathway', 'P:positive regulation of tyrosine phosphorylation of STAT protein', 'P:protein poly-ADP-ribosylation']"
268,Q4G0N7,FAM229B,https://www.antibodypedia.com/gene/50601/FAM229B,33,5,1,0,0,1,1.3227348187557517,[]
269,Q4KMP7,TBC1D10B,https://www.antibodypedia.com/gene/27194/TBC1D10B,104,21,14,4,0,1,2.0566155657502527,"['C:cytosol', 'C:plasma membrane', 'F:GTPase activator activity', 'P:regulation of GTPase activity', 'P:retrograde transport, endosome to Golgi']"
270,Q53GS7,GLE1,https://www.antibodypedia.com/gene/31163/GLE1,197,30,110,9,-1,1,2.4922509525146466,"['C:centriole', 'C:centrosome', 'C:ciliary basal body', 'C:cytoplasm', 'C:cytosol', 'C:extracellular space', 'C:membrane', 'C:nuclear envelope', 'C:nuclear membrane', 'C:nuclear pore', 'C:nuclear pore cytoplasmic filaments', 'C:nucleolus', 'F:identical protein binding', 'F:inositol hexakisphosphate binding', 'F:phospholipid binding', 'F:translation initiation factor binding', 'P:mRNA export from nucleus', 'P:nucleocytoplasmic transport', 'P:poly(A)+ mRNA export from nucleus', 'P:protein transport']"
271,Q5GFL6,VWA2,https://www.antibodypedia.com/gene/46200/VWA2,103,21,24,2,0,1,1.7316457170841202,"['C:basement membrane', 'C:extracellular exosome', 'C:extracellular space', 'F:calcium ion binding', 'F:identical protein binding', 'P:calcium-independent cell-matrix adhesion', 'P:regulation of insulin receptor signaling pathway']"
272,Q5JQF8,PABPC1L2A,https://www.antibodypedia.com/gene/27980/PABPC1L2B,25,6,0,1,0,1,1.4683153258608792,"['C:cytoplasmic stress granule', 'C:cytosol', 'C:extracellular exosome', 'C:nucleus', 'C:ribonucleoprotein complex', ""F:mRNA 3'-UTR binding"", 'F:poly(A) binding', 'F:poly(U) RNA binding']"
273,Q5JQF8,PABPC1L2B,https://www.antibodypedia.com/gene/27980/PABPC1L2B,25,6,1,1,0,1,1.4675014788409355,"['C:cytoplasmic stress granule', 'C:cytosol', 'C:extracellular exosome', 'C:nucleus', 'C:ribonucleoprotein complex', ""F:mRNA 3'-UTR binding"", 'F:poly(A) binding', 'F:poly(U) RNA binding']"
274,Q5JQF8,PABPC1L2A,https://www.antibodypedia.com/gene/27980/PABPC1L2B,25,6,0,1,0,1,1.4683153258608792,"['C:cytoplasmic stress granule', 'C:cytosol', 'C:extracellular exosome', 'C:nucleus', 'C:ribonucleoprotein complex', ""F:mRNA 3'-UTR binding"", 'F:poly(A) binding', 'F:poly(U) RNA binding']"
275,Q5JQF8,PABPC1L2B,https://www.antibodypedia.com/gene/27980/PABPC1L2B,25,6,1,1,0,1,1.4675014788409355,"['C:cytoplasmic stress granule', 'C:cytosol', 'C:extracellular exosome', 'C:nucleus', 'C:ribonucleoprotein complex', ""F:mRNA 3'-UTR binding"", 'F:poly(A) binding', 'F:poly(U) RNA binding']"
276,Q5JTV8,TOR1AIP1,https://www.antibodypedia.com/gene/34423/TOR1AIP1,110,26,44,3,0,1,1.8842219587965974,"['C:nuclear envelope', 'C:nuclear inner membrane', 'C:nuclear membrane', 'C:nucleus', 'F:ATPase activator activity', 'F:ATPase binding', 'F:cytoskeletal protein binding', 'F:lamin binding', 'P:nuclear membrane organization', 'P:positive regulation of ATP-dependent activity', 'P:protein localization to nuclear envelope', 'P:protein localization to nucleus']"
277,Q5JWF2,GNAS,https://www.antibodypedia.com/gene/4152/GNAS,792,43,1991,11,0,1,2.6556981204156016,"['C:apical plasma membrane', 'C:cytoplasm', 'C:cytosol', 'C:extracellular exosome', 'C:heterotrimeric G-protein complex', 'C:membrane', 'F:adenylate cyclase activator activity', 'F:beta-2 adrenergic receptor binding', 'F:corticotropin-releasing hormone receptor 1 binding', 'F:D1 dopamine receptor binding', 'F:G-protein beta/gamma-subunit complex binding', 'F:GTP binding', 'F:GTPase activity', 'F:insulin-like growth factor receptor binding', 'F:ionotropic glutamate receptor binding', 'F:metal ion binding', 'F:mu-type opioid receptor binding', 'P:adenylate cyclase-activating dopamine receptor signaling pathway', 'P:adenylate cyclase-activating G protein-coupled receptor signaling pathway', 'P:bone development', 'P:developmental growth', 'P:platelet aggregation', 'P:positive regulation of cold-induced thermogenesis', 'P:sensory perception of chemical stimulus']"
278,Q5SZK8,FREM2,https://www.antibodypedia.com/gene/23253/FREM2,109,28,101,1,0,1,1.5210013001931042,"['C:basement membrane', 'C:collagen-containing extracellular matrix', 'C:extracellular exosome', 'C:plasma membrane', 'F:metal ion binding', 'P:anatomical structure morphogenesis', 'P:cell adhesion', 'P:cell communication', 'P:embryonic digit morphogenesis', 'P:eye development', 'P:heart development', 'P:inner ear development', 'P:kidney development', 'P:morphogenesis of an epithelium']"
279,Q5SZL2,CEP85L,https://www.antibodypedia.com/gene/32566/CEP85L,73,14,20,1,0,-1,-1.0120013786904947,"['C:centrosome', 'C:cytoplasm', 'C:pericentriolar material', 'P:neuron migration']"
280,Q5T4S7,UBR4,https://www.antibodypedia.com/gene/2856/UBR4,127,27,98,5,0,1,2.182797888347572,"['C:centrosome', 'C:cytoplasm', 'C:cytosol', 'C:endosome', 'C:ficolin-1-rich granule membrane', 'C:membrane', 'C:nucleoplasm', 'C:plasma membrane', 'C:specific granule membrane', 'C:tertiary granule membrane', 'F:calmodulin binding', 'F:ubiquitin protein ligase activity', 'F:ubiquitin-protein transferase activity', 'F:zinc ion binding', 'P:cytoplasm protein quality control', 'P:cytoplasm protein quality control by the ubiquitin-proteasome system', 'P:endosome organization', 'P:negative regulation of fatty acid biosynthetic process', 'P:positive regulation of autophagy', 'P:proteasome-mediated ubiquitin-dependent protein catabolic process', 'P:protein K11-linked ubiquitination', 'P:protein K27-linked ubiquitination', 'P:protein K48-linked ubiquitination', 'P:ubiquitin-dependent protein catabolic process', 'P:ubiquitin-dependent protein catabolic process via the N-end rule pathway']"
281,Q5T9A4,ATAD3B,https://www.antibodypedia.com/gene/26380/ATAD3B,81,24,32,2,0,1,1.689808041952853,"['C:ficolin-1-rich granule membrane', 'C:mitochondrial inner membrane', 'C:mitochondrion', 'C:plasma membrane', 'C:secretory granule membrane', 'F:ATP binding', 'F:ATP hydrolysis activity', 'P:mitochondrion organization']"
282,Q5T9A4,ATAD3B,https://www.antibodypedia.com/gene/26380/ATAD3B,81,24,32,2,0,1,1.689808041952853,"['C:ficolin-1-rich granule membrane', 'C:mitochondrial inner membrane', 'C:mitochondrion', 'C:plasma membrane', 'C:secretory granule membrane', 'F:ATP binding', 'F:ATP hydrolysis activity', 'P:mitochondrion organization']"
283,Q5TC82,RC3H1,https://www.antibodypedia.com/gene/34400/RC3H1,142,21,92,6,1,1,2.7930160593715048,"['C:cytoplasmic stress granule', 'C:P-body', 'F:CCR4-NOT complex binding', 'F:double-stranded RNA binding', 'F:miRNA binding', ""F:mRNA 3'-UTR binding"", 'F:mRNA binding', 'F:RNA binding', 'F:RNA stem-loop binding', 'F:ubiquitin protein ligase activity', 'F:ubiquitin-protein transferase activity', 'F:zinc ion binding', ""P:3'-UTR-mediated mRNA destabilization"", 'P:B cell homeostasis', 'P:cellular response to interleukin-1', 'P:lymph node development', 'P:negative regulation of activated T cell proliferation', 'P:negative regulation of B cell proliferation', 'P:negative regulation of germinal center formation', 'P:negative regulation of T-helper 17 cell differentiation', 'P:negative regulation of T-helper cell differentiation', 'P:nuclear-transcribed mRNA catabolic process', 'P:nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay', 'P:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay', 'P:P-body assembly', 'P:positive regulation of non-canonical NF-kappaB signal transduction', 'P:post-transcriptional regulation of gene expression', 'P:protein polyubiquitination', 'P:regulation of germinal center formation', 'P:regulation of miRNA metabolic process', 'P:regulation of mRNA stability', 'P:regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay', 'P:regulation of T cell receptor signaling pathway', 'P:spleen development', 'P:T cell homeostasis', 'P:T cell proliferation', 'P:T cell receptor signaling pathway', 'P:T follicular helper cell differentiation', 'P:ubiquitin-dependent protein catabolic process']"
284,Q5VT06,CEP350,https://www.antibodypedia.com/gene/34424/CEP350,80,21,28,7,0,1,2.47952168772659,"['C:cell projection', 'C:centriole', 'C:centrosome', 'C:cytoplasm', 'C:membrane', 'C:nucleus', 'C:spindle', 'F:microtubule binding', 'P:microtubule anchoring', 'P:non-motile cilium assembly', 'P:protein localization to centrosome']"
285,Q5VT25,CDC42BPA,https://www.antibodypedia.com/gene/34655/CDC42BPA,241,35,58,4,-2,1,1.3935250079538275,"['C:actomyosin', 'C:cell leading edge', 'C:cell-cell junction', 'C:cytoplasm', 'C:cytoskeleton', 'C:cytosol', 'C:extracellular exosome', 'C:lamellipodium', 'F:ATP binding', 'F:identical protein binding', 'F:magnesium ion binding', 'F:protein serine kinase activity', 'F:protein serine/threonine kinase activity', 'P:actin cytoskeleton organization', 'P:actomyosin structure organization', 'P:cell migration', 'P:protein phosphorylation']"
286,Q5VTT5,MYOM3,https://www.antibodypedia.com/gene/30256/MYOM3,63,19,18,6,0,1,2.3027492944638945,"['C:M band', 'F:protein homodimerization activity', 'P:sarcomere organization']"
287,Q5VU43,PDE4DIP,https://www.antibodypedia.com/gene/2152/PDE4DIP,128,23,83,7,0,1,2.5118369721134233,"['C:centrosome', 'C:cytoplasm', 'C:Golgi apparatus', 'C:myofibril', 'C:nucleus', 'F:enzyme binding', 'F:molecular adaptor activity', 'P:astral microtubule organization', 'P:centrosome cycle', 'P:positive regulation of microtubule nucleation', 'P:protein-containing complex assembly', 'P:regulation of Golgi organization']"
288,Q5VWQ8,DAB2IP,https://www.antibodypedia.com/gene/48362/DAB2IP,110,19,231,6,4,1,3.89941402841369,"['C:AIP1-IRE1 complex', 'C:axon', 'C:cerebellar mossy fiber', 'C:climbing fiber', 'C:cytoplasm', 'C:cytosol', 'C:dendrite', 'C:endocytic vesicle', 'C:neuronal cell body', 'C:neuronal cell body membrane', 'C:parallel fiber', 'C:plasma membrane', 'F:14-3-3 protein binding', 'F:cadherin binding', 'F:death receptor binding', 'F:GTPase activator activity', 'F:identical protein binding', 'F:kinase binding', 'F:mitogen-activated protein kinase kinase binding', 'F:mitogen-activated protein kinase kinase kinase binding', 'F:phosphatidylinositol 3-kinase binding', 'F:phosphatidylinositol 3-kinase regulatory subunit binding', 'F:phosphatidylinositol-3-phosphate binding', 'F:phosphatidylinositol-4-phosphate binding', 'F:protein homodimerization activity', 'F:protein kinase binding', 'F:protein phosphatase 2A binding', 'F:protein serine/threonine kinase activator activity', 'F:protein-containing complex binding', 'F:SH3 domain binding', 'F:signaling adaptor activity', 'F:vascular endothelial growth factor receptor 2 binding', 'P:angiogenesis', 'P:cell motility involved in cerebral cortex radial glia guided migration', 'P:cellular response to epidermal growth factor stimulus', 'P:cellular response to interleukin-1', 'P:cellular response to lipopolysaccharide', 'P:cellular response to tumor necrosis factor', 'P:cellular response to unfolded protein', 'P:cellular response to vascular endothelial growth factor stimulus', 'P:endothelial cell apoptotic process', 'P:extrinsic apoptotic signaling pathway via death domain receptors', 'P:inflammatory response', 'P:innate immune response', 'P:intracellular signal transduction', 'P:intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress', 'P:layer formation in cerebral cortex', 'P:negative regulation of angiogenesis', 'P:negative regulation of canonical NF-kappaB signal transduction', 'P:negative regulation of canonical Wnt signaling pathway', 'P:negative regulation of cell population proliferation', 'P:negative regulation of DNA-templated transcription', 'P:negative regulation of endothelial cell migration', 'P:negative regulation of epidermal growth factor receptor signaling pathway', 'P:negative regulation of epithelial cell migration', 'P:negative regulation of epithelial cell proliferation', 'P:negative regulation of epithelial to mesenchymal transition', 'P:negative regulation of ERK1 and ERK2 cascade', 'P:negative regulation of fibroblast proliferation', 'P:negative regulation of G0 to G1 transition', 'P:negative regulation of GTPase activity', 'P:negative regulation of MAP kinase activity', 'P:negative regulation of NF-kappaB transcription factor activity', 'P:negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:negative regulation of protein catabolic process', 'P:negative regulation of protein serine/threonine kinase activity', 'P:negative regulation of Ras protein signal transduction', 'P:negative regulation of toll-like receptor 4 signaling pathway', 'P:negative regulation of transcription by RNA polymerase II', 'P:negative regulation of vascular endothelial growth factor receptor signaling pathway', 'P:negative regulation of vascular endothelial growth factor signaling pathway', 'P:neuron projection morphogenesis', 'P:positive regulation of apoptotic process', 'P:positive regulation of apoptotic signaling pathway', 'P:positive regulation of canonical NF-kappaB signal transduction', 'P:positive regulation of dendrite development', 'P:positive regulation of IRE1-mediated unfolded protein response', 'P:positive regulation of JNK cascade', 'P:positive regulation of JUN kinase activity', 'P:positive regulation of MAPK cascade', 'P:positive regulation of neuron migration', 'P:positive regulation of neuron projection development', 'P:positive regulation of proteasomal protein catabolic process', 'P:positive regulation of protein catabolic process', 'P:positive regulation of protein serine/threonine kinase activity', 'P:positive regulation of protein-containing complex assembly', 'P:positive regulation of synapse maturation', 'P:positive regulation of transcription by RNA polymerase II', 'P:protein catabolic process', 'P:regulation of canonical NF-kappaB signal transduction', 'P:regulation of cell cycle', 'P:regulation of GTPase activity', 'P:regulation of p38MAPK cascade', 'P:regulation of protein-containing complex assembly', 'P:tube formation', 'P:vascular endothelial growth factor receptor-2 signaling pathway']"
289,Q63HM2,PCNX4,https://www.antibodypedia.com/gene/41/PCNX4,67,15,3,0,0,-1,-1.1654133933277255,['C:membrane']
290,Q63ZY3,KANK2,https://www.antibodypedia.com/gene/2885/KANK2,191,28,37,6,1,1,2.9164602840872393,"['C:cytoplasm', 'C:mitochondrion', 'P:apoptotic process', 'P:kidney epithelium development', 'P:negative regulation of actin filament polymerization', 'P:negative regulation of cell population proliferation', 'P:negative regulation of G1/S transition of mitotic cell cycle', 'P:negative regulation of intracellular estrogen receptor signaling pathway', 'P:negative regulation of programmed cell death', 'P:negative regulation of transcription by RNA polymerase II', 'P:negative regulation of vitamin D receptor signaling pathway', 'P:podocyte cell migration', 'P:regulation of Rho protein signal transduction']"
291,Q6AI08,HEATR6,https://www.antibodypedia.com/gene/31155/HEATR6,54,11,5,6,0,1,2.298877392507462,['F:RNA binding']
292,Q6GQQ9,OTUD7B,https://www.antibodypedia.com/gene/72463/OTUD7B,231,29,81,7,2,1,3.5261303074909307,"['C:cytoplasm', 'C:cytosol', 'C:nucleus', 'F:cysteine-type deubiquitinase activity', 'F:cysteine-type peptidase activity', 'F:DNA binding', 'F:K48-linked deubiquitinase activity', 'F:K63-linked polyubiquitin modification-dependent protein binding', 'F:zinc ion binding', 'P:adaptive immune response', 'P:in utero embryonic development', 'P:mucosal immune response', 'P:negative regulation of canonical NF-kappaB signal transduction', 'P:negative regulation of interleukin-8 production', 'P:negative regulation of protein localization to nucleus', 'P:negative regulation of transcription by RNA polymerase II', 'P:protein K11-linked deubiquitination', 'P:protein K48-linked deubiquitination', 'P:protein K63-linked deubiquitination', 'P:proteolysis']"
293,Q6MZQ0,PRR5L,https://www.antibodypedia.com/gene/13120/PRR5L,76,24,16,2,0,1,1.6948007535965646,"['C:TORC2 complex', 'F:ubiquitin protein ligase binding', 'P:cellular response to oxidative stress', 'P:negative regulation of protein phosphorylation', 'P:negative regulation of signal transduction', 'P:phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:positive regulation of intracellular protein transport', 'P:positive regulation of mRNA catabolic process', 'P:positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:positive regulation of protein phosphorylation', 'P:regulation of fibroblast migration', 'P:TORC2 signaling']"
294,Q6N069,NAA16,https://www.antibodypedia.com/gene/23410/NAA16,60,19,7,0,2,1,2.208478999707779,"['C:cytoplasm', 'C:cytosol', 'C:extracellular exosome', 'C:NatA complex', 'C:nucleus', 'C:transcription regulator complex', 'F:ribosome binding', 'P:N-terminal protein amino acid acetylation', 'P:negative regulation of apoptotic process', 'P:positive regulation of DNA-templated transcription', 'P:protein stabilization']"
295,Q6NUT3,MFSD12,https://www.antibodypedia.com/gene/23242/MFSD12,63,17,29,0,0,1,1.3481201462496646,"['C:late endosome', 'C:lysosomal membrane', 'C:lysosome', 'C:melanosome', 'C:melanosome membrane', 'C:plasma membrane', 'F:cysteine transmembrane transporter activity', 'F:symporter activity', 'P:carbohydrate transport', 'P:cysteine transmembrane transport', 'P:melanin biosynthetic process', 'P:negative regulation of melanin biosynthetic process', 'P:organic substance transport', 'P:pigment metabolic process involved in pigmentation', 'P:regulation of melanin biosynthetic process']"
296,Q6NXR4,TTI2,https://www.antibodypedia.com/gene/10728/TTI2,47,17,37,1,0,1,1.4735298850946734,"['C:nucleus', 'C:TTT Hsp90 cochaperone complex', 'P:positive regulation of DNA damage checkpoint', 'P:protein stabilization']"
297,Q6NZ67,MZT2B,https://www.antibodypedia.com/gene/77852/MZT2B,19,9,3,1,0,1,1.4562391759905797,"['C:centrosome', 'C:cytosol', 'C:gamma-tubulin ring complex', 'C:nucleoplasm', 'C:spindle']"
298,Q6P0N0,MIS18BP1,https://www.antibodypedia.com/gene/12/MIS18BP1,55,13,17,11,1,0,2.2318584666264245,"['C:chromosome, centromeric region', 'C:nucleoplasm', 'F:DNA binding', 'P:cell division']"
299,Q6P1J6,PLB1,https://www.antibodypedia.com/gene/2675/PLB1,129,14,132,1,0,1,1.5278874052764055,"['C:apical plasma membrane', 'C:brush border membrane', 'C:plasma membrane', 'F:calcium-independent phospholipase A2 activity', 'F:lysophospholipase activity', 'F:phosphatidyl phospholipase B activity', 'F:phospholipase A2 activity', 'F:retinyl-palmitate esterase activity', 'F:triglyceride lipase activity', 'P:diacylglycerol catabolic process', 'P:phosphatidylcholine acyl-chain remodeling', 'P:phosphatidylcholine catabolic process', 'P:phosphatidylethanolamine catabolic process', 'P:phosphatidylglycerol catabolic process', 'P:phospholipid metabolic process', 'P:positive regulation of acrosome reaction', 'P:retinoid metabolic process', 'P:triglyceride catabolic process']"
300,Q6P3V2,ZNF585A,https://www.antibodypedia.com/gene/73626/ZNF585A,11,9,2,0,3,1,2.5575013579009673,"['C:nucleus', 'F:DNA-binding transcription activator activity, RNA polymerase II-specific', 'F:metal ion binding', 'F:RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'P:regulation of transcription by RNA polymerase II']"
301,Q6PIJ6,FBXO38,https://www.antibodypedia.com/gene/27733/FBXO38,71,14,33,1,0,1,1.5153237084163211,"['C:cytoplasm', 'C:cytosol', 'C:nucleus', 'C:SCF ubiquitin ligase complex', 'F:ubiquitin-like ligase-substrate adaptor activity', 'P:adaptive immune response', 'P:positive regulation of neuron projection development', 'P:positive regulation of T cell activation', 'P:positive regulation of T cell mediated immune response to tumor cell', 'P:protein K48-linked ubiquitination', 'P:SCF-dependent proteasomal ubiquitin-dependent protein catabolic process']"
302,Q6PKX4,DOK6,https://www.antibodypedia.com/gene/23216/DOK6,165,25,17,1,0,1,1.6792874654327563,"['C:cytoplasm', 'C:cytosol', 'P:cell surface receptor protein tyrosine kinase signaling pathway', 'P:positive regulation of MAPK cascade', 'P:Ras protein signal transduction']"
303,Q6R327,RICTOR,https://www.antibodypedia.com/gene/23075/RICTOR,646,40,1251,6,0,0,0.9648804243054957,"['C:cytosol', 'C:Golgi apparatus', 'C:TORC2 complex', 'F:molecular adaptor activity', 'F:protein kinase binding', 'F:protein serine/threonine kinase activator activity', 'F:ribosome binding', 'P:actin cytoskeleton organization', 'P:cellular response to nutrient levels', 'P:cytoskeleton organization', 'P:embryo development ending in birth or egg hatching', 'P:negative regulation of apoptotic process', 'P:peptidyl-serine phosphorylation', 'P:positive regulation of actin filament polymerization', 'P:positive regulation of cell growth', 'P:positive regulation of endothelial cell proliferation', 'P:positive regulation of peptidyl-tyrosine phosphorylation', 'P:positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:positive regulation of TOR signaling', 'P:regulation of actin cytoskeleton organization', 'P:regulation of establishment of cell polarity', 'P:regulation of gene expression', 'P:regulation of inflammatory response', 'P:regulation of peptidyl-serine phosphorylation', 'P:regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction', 'P:TORC2 signaling']"
304,Q6XZF7,DNMBP,https://www.antibodypedia.com/gene/31117/DNMBP,152,24,41,4,0,1,2.1117185666955134,"['C:cell-cell junction', 'C:cytoplasm', 'C:cytoskeleton', 'C:cytosol', 'C:Golgi apparatus', 'C:Golgi stack', 'C:presynapse', 'C:synapse', 'F:guanyl-nucleotide exchange factor activity', 'P:cilium assembly', 'P:intracellular signal transduction', 'P:regulation of cell shape', 'P:regulation of small GTPase mediated signal transduction']"
305,Q6ZRS2,SRCAP,https://www.antibodypedia.com/gene/27413/SRCAP,80,22,173,10,4,1,4.528895332181325,"['C:Golgi apparatus', 'C:nuclear body', 'C:nucleoplasm', 'C:nucleosome', 'C:nucleus', 'C:perinuclear region of cytoplasm', 'C:protein-containing complex', 'C:Swr1 complex', 'F:ATP binding', 'F:ATP hydrolysis activity', 'F:ATP-dependent chromatin remodeler activity', 'F:DNA binding', 'F:helicase activity', 'F:histone acetyltransferase activity', 'F:histone binding', 'F:transcription coactivator activity', 'P:chromatin remodeling', 'P:regulation of DNA-templated transcription', 'P:regulation of transcription by RNA polymerase II']"
306,Q6ZSR9,NA,None,0,0,0,0,0,1,1.270558317318121,[]
307,Q6ZSZ5,ARHGEF18,https://www.antibodypedia.com/gene/24427/ARHGEF18,281,30,36,2,0,1,2.007706280888681,"['C:apical part of cell', 'C:apical plasma membrane', 'C:cell junction', 'C:cytoskeleton', 'C:cytosol', 'C:extracellular exosome', 'C:plasma membrane', 'F:guanyl-nucleotide exchange factor activity', 'F:metal ion binding', 'P:actin cytoskeleton organization', 'P:negative regulation of stress fiber assembly', 'P:protein localization to cell-cell junction', 'P:regulation of cell shape', 'P:regulation of Rho protein signal transduction', 'P:small GTPase-mediated signal transduction']"
